Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
CBTN,CITIZENS BNCRP INVT INC A,OTCQX U.S. Premier,45.500000,1.111100,1200,Common Stock,USA,Tennessee
RYES,RISE GOLD CORP,OTCQX U.S.,0.619500,-0.209400,3897,Foreign Ordinary Shares,Canada,British Columbia
AIXN,AIXIN LIFE INTL INC,OTCQX U.S.,5.960000,,0,Common Stock,China,
TOFB,TOFUTTI BRANDS INC,OTCQX U.S.,2.370000,5.333300,100,Common Stock,USA,New Jersey
SMDM,SINGING MACHINE CO INC,OTCQX U.S.,0.166000,0.000000,7100,Common Stock,USA,Florida
NOBH,NOBILITY HOMES INC,OTCQX U.S.,31.450000,,0,Common Stock,USA,Florida
CRMZ,CREDITRISKMONITOR.COM INC,OTCQX U.S.,2.200000,-2.222200,7108,Common Stock,USA,New York
GCEH,GLOBAL CLEAN ENGY HLDGS,OTCQX U.S.,4.240000,6.801000,3711,Common Stock,USA,California
MACE,MACE SECURITY INTL INC,OTCQX U.S.,0.227500,-3.693500,180560,Common Stock,USA,Ohio
LYBC,LYONS BANCORP INC,OTCQX U.S.,48.000000,,0,Common Stock,USA,New York
ENZN,ENZON PHARMS INC,OTCQX U.S.,0.330000,13.402100,15600,Common Stock,USA,New Jersey
CNIGO,CORNING NAT 6% PFD SER A,OTCQX U.S.,26.100000,,0,Preferred Stock,USA,New York
CNIGP,CORNING NAT 4.8% PFD B,OTCQX U.S.,28.560000,,0,Preferred Stock,USA,New York
CPKF,CHESAPEAKE FINCL SHS INC,OTCQX U.S.,30.000000,,1,Common Stock,USA,Virginia
BDCO,BLUE DOLPHIN ENERGY CO,OTCQX U.S.,0.330000,2.167200,6098,Common Stock,USA,Texas
BRST,BROAD STREET REALTY INC,OTCQX U.S.,2.500000,,0,Common Stock,USA,Maryland
BVHBB,BLUEGREEN VACATIONS CL B,OTCQX U.S.,28.000000,,0,Common Stock,USA,Florida
AXAS,ABRAXAS PETROLEUM CORP,OTCQX U.S.,1.745000,15.562900,249929,Common Stock,USA,Texas
HSBI,HERITAGE SOUTHEAST BANCRP,OTCQX U.S.,25.530000,-0.661500,3683,Common Stock,USA,Georgia
DPSI,DECISIONPOINT SYST INC,OTCQX U.S.,4.510000,-7.201600,2617,Common Stock,USA,California
INBP,INTEGRATED BIOPHARMA INC,OTCQX U.S.,0.889500,2.241400,5650,Common Stock,USA,New Jersey
FACO,FIRST ACCEPTANCE CORP,OTCQX U.S.,1.940000,-6.730800,12400,Common Stock,USA,Tennessee
QEPC,Q.E.P. CO INC,OTCQX U.S.,20.200000,,0,Common Stock,USA,Florida
HCBC,HIGH COUNTRY BANCORP INC,OTCQX U.S.,44.250000,,0,Common Stock,USA,Colorado
IDXG,INTERPACE BIOSCIENCES INC,OTCQX U.S.,5.100000,2.000000,1599,Common Stock,USA,New Jersey
INVUP,INVESTVIEW INC PFD SER B,OTCQX U.S.,0.000000,,50,Preferred Stock,USA,New Jersey
ALBY,COMMUTY CAP BNCSHS INC,OTCQX U.S.,13.000000,-1.140700,919,Common Stock,USA,Georgia
EMMA,EMMAUS LIFE SCIENCES INC,OTCQX U.S.,1.410000,0.000000,1418,Common Stock,USA,California
JDVB,JD BANCSHARES INC,OTCQX U.S.,30.000000,,0,Common Stock,USA,Louisiana
PFBX,PEOPLES FINCL CORP MISS,OTCQX U.S.,16.300000,,0,Common Stock,USA,Mississippi
LUMB,LUMBEE GUARANTY BK,OTCQX U.S.,12.180000,,0,Common Stock,USA,North Carolina
TRCK,TRACK GROUP INC,OTCQX U.S.,1.590000,-0.625000,8611,Common Stock,USA,Illinois
TBTC,TABLE TRAC INC,OTCQX U.S.,3.400000,3.030300,800,Common Stock,USA,Minnesota
OSTBP,OVERSTOCK PFD VTG SER B,OTCQX U.S.,50.480000,,3,Preferred Stock,USA,Utah
GRRB,GRANDSOUTH BNCRPRTN NEW,OTCQX U.S.,28.500000,,28,Common Stock,USA,South Carolina
UWHR,UWHARRIE CAPITAL CORP,OTCQX U.S.,9.250000,-7.035200,1002,Common Stock,USA,North Carolina
DMKBB,DENMARK BANCSHARES INC B,OTCQX U.S.,36.250000,,0,Common Stock,USA,Wisconsin
CIBH,CIB MARINE BANCSHARES,OTCQX U.S.,43.750000,4.477600,540,Common Stock,USA,Wisconsin
SIMP,SIMPLY INC,OTCQX U.S.,2.700000,3.846200,2898,Common Stock,USA,Florida
ESBS,ES BANCSHARES INC (MD),OTCQX U.S.,5.350000,,0,Common Stock,USA,New York
UBAB,UNITED BNCRP OF AL INC  A,OTCQX U.S.,29.700000,,0,Common Stock,USA,Alabama
ADXS,ADVAXIS INC,OTCQX U.S.,0.111750,4.929600,730232,Common Stock,USA,New Jersey
NCPL,NETCAPITAL INC,OTCQX U.S.,10.200000,,0,Common Stock,USA,Massachusetts
LGIQ,LOGIQ INC,OTCQX U.S.,1.270000,-11.682900,129211,Foreign Ordinary Shares,USA,New York
ISCO,INTL STEM CELL CORP,OTCQX U.S.,0.500000,0.000000,1068,Common Stock,USA,California
